field_a,value_a,field_b,value_b,support,n_both_disclosed,lift
entry.archetypes,momentum_continuation,exit.initial_stop_basis,undisclosed,5,118,0.66
entry.archetypes,chart_pattern,exit.initial_stop_basis,pattern_invalidation,5,118,4.92
entry.archetypes,volatility_event,exit.initial_stop_basis,none,5,118,9.83
entry.archetypes,chart_pattern,exit.initial_stop_basis,structure_swing,4,118,5.24
entry.archetypes,breakout_range,exit.initial_stop_basis,structure_swing,4,118,4.92
entry.archetypes,undisclosed,exit.initial_stop_basis,undisclosed,4,118,1.84
entry.archetypes,breakout_range,exit.initial_stop_basis,fixed_pct,4,118,5.9
entry.archetypes,news_catalyst,exit.initial_stop_basis,mental_discretionary,3,118,2.53
entry.archetypes,oversold_reversal,exit.initial_stop_basis,mental_discretionary,3,118,4.42
entry.archetypes,momentum_continuation,exit.initial_stop_basis,pattern_invalidation,3,118,3.16
entry.archetypes,earnings_fundamental_catalyst,exit.initial_stop_basis,undisclosed,3,118,0.92
entry.archetypes,momentum_continuation,exit.initial_stop_basis,mental_discretionary,3,118,1.26
entry.archetypes,spread_relative_value,exit.initial_stop_basis,mental_discretionary,3,118,0.93
entry.archetypes,volatility_event,exit.initial_stop_basis,mental_discretionary,3,118,1.77
entry.archetypes,breakout_range,exit.initial_stop_basis,pattern_invalidation,3,118,2.77
entry.archetypes,relative_strength_rotation,exit.initial_stop_basis,fixed_pct,3,118,8.85
entry.archetypes,chart_pattern,exit.initial_stop_basis,fixed_pct,3,118,4.72
entry.archetypes,breakout_range,exit.initial_stop_basis,undisclosed,3,118,0.35
entry.archetypes,momentum_continuation,exit.initial_stop_basis,fixed_pct,3,118,5.06
entry.archetypes,spread_relative_value,exit.initial_stop_basis,none,3,118,3.11
style.primary,market_making,sizing.model,undisclosed,14,118,1.53
style.primary,trend_following,sizing.model,undisclosed,12,118,0.7
style.primary,trend_following,sizing.model,volatility_normalized,12,118,3.37
style.primary,stat_arb,sizing.model,undisclosed,8,118,1.31
style.primary,momentum_growth,sizing.model,undisclosed,8,118,1.01
style.primary,global_macro,sizing.model,undisclosed,7,118,0.88
style.primary,day_trading,sizing.model,undisclosed,6,118,1.23
style.primary,volatility_trading,sizing.model,undisclosed,5,118,1.37
style.primary,global_macro,sizing.model,conviction_weighted,4,118,2.59
style.primary,other,sizing.model,undisclosed,4,118,0.82
style.primary,trend_following,sizing.model,fixed_fractional_pct_risk,3,118,2.11
style.primary,momentum_growth,sizing.model,pyramiding_program,3,118,9.08
risk.pyramids,true,exit.uses_trailing,true,11,12,1.0
